director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Anshai Lal,Anushka Sharma,Diljit Dosanjh,Suraj Sharma,Fantasy Comedy Romance Drama,phillauri,Anushka Sharma Diljit Dosanjh Suraj Sharma Anshai Lal Fantasy Comedy Romance Drama
Jim Strouse,Jessica Williams,Chris O'Dowd,Keith Stanfield,Romance Comedy,the incredible jessica james,Jessica Williams Chris O'Dowd Keith Stanfield Jim Strouse Romance Comedy
Farhad Mann,Adelaide Kane,Benjamin Hollingsworth,Jean Louisa Kelly,Romance,can't buy my love,Adelaide Kane Benjamin Hollingsworth Jean Louisa Kelly Farhad Mann Romance
Hannaleena Hauru,Inka Haapamäki,Rosa Honkonen,Tiitus Rantala,Romance Comedy,thick lashes of lauri mäntyvaara,Inka Haapamäki Rosa Honkonen Tiitus Rantala Hannaleena Hauru Romance Comedy
Jonathan A. Rosenbaum,Lou Diamond Phillips,Wallace Shawn,Gina Holden,Crime Comedy Action Family,cop and a half: new recruit,Lou Diamond Phillips Wallace Shawn Gina Holden Jonathan A. Rosenbaum Crime Comedy Action Family
Ravi Udyawar,Sridevi Kapoor,Sajal Ali,Akshaye Khanna,Crime Drama Thriller,mom,Sridevi Kapoor Sajal Ali Akshaye Khanna Ravi Udyawar Crime Drama Thriller
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel Horror Mystery Thriller
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones,Alex Pettyfer James Freedson-Jackson Emily Althaus Lauren Wolkstein Thriller Drama
Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Action Thriller,stratton,Dominic Cooper Austin Stowell Gemma Chan Simon West Action Thriller
Warwick Thornton,Bryan Brown,Sam Neill,unknown,Western Crime Thriller Drama,sweet country,Bryan Brown Sam Neill unknown Warwick Thornton Western Crime Thriller Drama
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller Mystery,the commuter,Liam Neeson Vera Farmiga Patrick Wilson Jaume Collet-Serra Action Thriller Mystery
Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary,Taraji P. Henson Billy Brown Danny Glover Babak Najafi Thriller Action Crime
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action Crime Thriller,acts of violence,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho Action Crime Thriller
Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show,Alex Lawther Abigail Breslin Bette Midler Trudie Styler Comedy Drama
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman Comedy
Daniela Thomas,Adriano Carvalho,Luana Nastas,unknown,Drama,vazante,Adriano Carvalho Luana Nastas unknown Daniela Thomas Drama
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation Family,mary and the witch's flower,Ruby Barnhill Louis Ashbourne Serkis Kate Winslet Hiromasa Yonebayashi Fantasy Adventure Animation Family
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong,Chris Hemsworth Michael Shannon Michael Peña Nicolai Fuglsig War Drama Action History
Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves,Gerard Butler 50 Cent Pablo Schreiber Christian Gudegast Action Thriller Crime
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf Romance Drama Music
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action Adventure Thriller,maze runner: the death cure,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball Science Fiction Action Adventure Thriller
Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult,Adel Karam Camille Salameh Kamel El Basha Ziad Doueiri Comedy Crime
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,Dakota Fanning Toni Collette Alice Eve Ben Lewin Comedy Drama
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Horror Thriller,winchester,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers Horror Thriller
Sebastián Lelio,Daniela Vega,Francisco Reyes,unknown,Drama,a fantastic woman,Daniela Vega Francisco Reyes unknown Sebastián Lelio Drama
Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Thriller,armed,Mario Van Peebles William Fichtner Ryan Guzman Mario Van Peebles Action Thriller
Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Horror Science Fiction Action Thriller,the cloverfield paradox,Daniel Brühl Elizabeth Debicki Aksel Hennie Julius Onah Horror Science Fiction Action Thriller
Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Horror,bad apples,Brea Grant Graham Skipper Aly Fitzgerald Bryan Coyne Horror
Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Animation Adventure Family,peter rabbit,James Corden Domhnall Gleeson Rose Byrne Will Gluck Animation Adventure Family
James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed,Dakota Johnson Jamie Dornan Kim Basinger James Foley Drama Romance
Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Thriller History Drama,the 15:17 to paris,Anthony Sadler Alek Skarlatos Spencer Stone Clint Eastwood Thriller History Drama
Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina,Marco Polo Constandse (director); Omar Chaparro Marimar Vega Ryan Carnes Marco Polo Constandse Comedy
Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,Adventure Drama Fantasy,kri,Anmol K.C. Aditi Budhathoki Anoop Bikram Shahi Surendra Poudel Adventure Drama Fantasy
Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Comedy Romance Drama,permission,Rebecca Hall Dan Stevens Morgan Spector Brian Crano Comedy Romance Drama
Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,Animation Family Fantasy Comedy,monster family,Emily Watson Jason Isaacs Nick Frost Holger Tappe Animation Family Fantasy Comedy
Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,Emily Browning Adam Horowitz Mary-Louise Parker Alex Ross Perry Drama
"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Science Fiction,black panther,"Chadwick Boseman Michael B. Jordan Lupita Nyong'o Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan Action Adventure Science Fiction"
Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man,Eddie Redmayne Tom Hiddleston Maisie Williams Nick Park Family Comedy Animation Adventure
Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Comedy Drama,loveless,Maryana Spivak Alexei Rozin Matvey Novikov Andrey Zvyagintsev Comedy Drama
Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Comedy,the party,Timothy Spall Kristin Scott Thomas Patricia Clarkson Sally Potter Comedy
Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Drama Crime,nostalgia,Jon Hamm Nick Offerman Amber Tamblyn Mark Pellington Drama Crime
Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Drama Western,black '47,Hugo Weaving Jim Broadbent Stephen Rea Lance Daly Drama Western
Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson,Taylor James Jackson Rathbone Billy Zane Bruce Macdonald Action Drama Adventure
"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,Mystery Comedy Crime,game night,"Jason Bateman Rachel McAdams Kyle Chandler Jonathan Goldstein, John Francis Daley Mystery Comedy Crime"
Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Science Fiction Horror,annihilation,Natalie Portman Jennifer Jason Leigh Gina Rodriguez Alex Garland Science Fiction Horror
Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Fantasy Romance,every day,Angourie Rice Maria Bello Debby Ryan Michael Sucsy Fantasy Romance
David Freyne,David Freyne (director); Elliot Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured,David Freyne (director); Elliot Page Sam Keeley Tom Vaughan-Lawlor David Freyne Horror Drama Science Fiction
Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Horror Thriller Mystery,the lodgers,Charlotte Vega Bill Milner Eugene Simon Brian O'Malley Horror Thriller Mystery
Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Mystery Thriller,red sparrow,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Francis Lawrence Mystery Thriller
Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Action Crime Drama Thriller,death wish,Bruce Willis Vincent D'Onofrio Dean Norris Eli Roth Action Crime Drama Thriller
Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Drama Mystery Romance,the vanishing of sidney hall,Logan Lerman Elle Fanning Michelle Monaghan Shawn Christensen Drama Mystery Romance
Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Drama,foxtrot,Lior Ashkenazi Sarah Adler Yonatan Shiray Samuel Maoz Drama
Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Thriller Action Crime Drama Mystery,pickings,Elyse Price Joel Bernard Katie Vincent Usher Morgan Thriller Action Crime Drama Mystery
Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time,Storm Reid Oprah Winfrey Reese Witherspoon Ava DuVernay Adventure Science Fiction Family Fantasy
Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Comedy Action Crime,gringo,David Oyelowo Charlize Theron Joel Edgerton Nash Edgerton Comedy Action Crime
Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Drama Thriller,thoroughbreds,Olivia Cooke Anya Taylor-Joy Anton Yelchin Cory Finley Drama Thriller
Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Comedy Drama History,the death of stalin,Steve Buscemi Simon Russell Beale Paddy Considine Armando Iannucci Comedy Drama History
Paolo Virzì,Donald Sutherland,Helen Mirren,unknown,Drama Romance Adventure,the leisure seeker,Donald Sutherland Helen Mirren unknown Paolo Virzì Drama Romance Adventure
Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror,the strangers: prey at night,Christina Hendricks Martin Henderson Bailee Madison Johannes Roberts Horror
Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Crime Thriller,the hurricane heist,Toby Kebbell Maggie Grace Ryan Kwanten Rob Cohen Action Crime Thriller
Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,Alicia Vikander Dominic West Walton Goggins Roar Uthaug Action Adventure Fantasy
Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Comedy Drama Romance,"love, simon",Nick Robinson Katherine Langford Alexandra Shipp Greg Berlanti Comedy Drama Romance
Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Music Drama,i can only imagine,Cloris Leachman Dennis Quaid Priscilla Shirer Jon Erwin Music Drama
José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,Thriller Drama Crime,7 days in entebbe,Rosamund Pike Daniel Brühl Vincent Cassel José Padilha Thriller Drama Crime
Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Comedy,furlough,Melissa Leo Tessa Thompson La La Anthony Laurie Collyer Comedy
Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Thriller Drama,josie,Sophie Turner Dylan McDermott Jack Kilmer Eric England Thriller Drama
Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Comedy Drama,flower,Zoey Deutch Kathryn Hahn Tim Heidecker Max Winkler Comedy Drama
Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising,John Boyega Scott Eastwood Cailee Spaeny Steven S. DeKnight Action Fantasy Science Fiction Adventure
Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs,Bryan Cranston Edward Norton Bill Murray Wes Anderson Adventure Comedy Animation
John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,James McAvoy Emily Blunt Johnny Depp John Stevenson Animation Family Fantasy Comedy Adventure Mystery
Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,Claire Foy Joshua Leonard Jay Pharoah Steven Soderbergh Horror Thriller
Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,Drama History,"paul, apostle of christ",James Faulkner Jim Caviezel Olivier Martinez Andrew Hyatt Drama History
Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,History Drama,final portrait,Geoffrey Rush Armie Hammer Clémence Poésy Stanley Tucci History Drama
Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,Bella Thorne Patrick Schwarzenegger Rob Riggle Scott Speer Romance Drama
Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers,Amanda Delaney Justin Maina Sean Michael Gloria Ryan Justice Thriller
Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Science Fiction Adventure Action,ready player one,Tye Sheridan Olivia Cooke Ben Mendelsohn Steven Spielberg Science Fiction Adventure Action
Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Thriller,tyler perry's acrimony,Taraji P. Henson Lyriq Bent Tika Sumpter Tyler Perry Thriller
Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness,David A. R. White John Corbett Shane Harper Michael Mason Drama
Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Mystery Crime Drama Thriller,gemini,Lola Kirke Zoë Kravitz Greta Lee Aaron Katz Mystery Crime Drama Thriller
Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star,Burt Reynolds Ariel Winter Clark Duke Adam Rifkin Drama
John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,Horror Drama Science Fiction,a quiet place,John Krasinski Emily Blunt Millicent Simmonds John Krasinski Horror Drama Science Fiction
Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers,Leslie Mann Ike Barinholtz John Cena Kay Cannon Comedy
Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Thriller Drama Crime,you were never really here,Joaquin Phoenix Ekaterina Samsonov Alex Manette Lynne Ramsay Thriller Drama Crime
John Curran,Jason Clarke,Kate Mara,Ed Helms,History Drama Thriller,chappaquiddick,Jason Clarke Kate Mara Ed Helms John Curran History Drama Thriller
"Drew Fellman, David Douglas",Kristen Bell,unknown,unknown,Documentary,pandas,"Kristen Bell unknown unknown Drew Fellman, David Douglas Documentary"
Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Drama Adventure,lean on pete,Charlie Plummer Chloë Sevigny Travis Fimmel Andrew Haigh Drama Adventure
Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Drama,the miracle season,Helen Hunt William Hurt Erin Moriarty Sean McNamara Drama
Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut,Jon Hamm Rosamund Pike Dean Norris Brad Anderson Action Thriller Drama
Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Action Adventure Science Fiction,rampage,Dwayne Johnson Naomie Harris Malin Åkerman Brad Peyton Action Adventure Science Fiction
Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare,Lucy Hale Tyler Posey Violett Beane Jeff Wadlow Thriller Horror
Chloé Zhao,Brady Jandreau,unknown,unknown,Drama Western,the rider,Brady Jandreau unknown unknown Chloé Zhao Drama Western
Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero,Logan Lerman Helena Bonham Carter Gérard Depardieu Richard Lanni Animation Adventure Family History War
"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,Comedy Romance,i feel pretty,"Amy Schumer Michelle Williams Emily Ratajkowski Abby Kohn, Marc Silverstein Comedy Romance"
Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Comedy Crime Mystery,super troopers 2,Jay Chandrasekhar Paul Soter Steve Lemme Jay Chandrasekhar Comedy Crime Mystery
Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Horror Thriller,traffik,Paula Patton Omar Epps Missi Pyle Deon Taylor Horror Thriller
Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Drama Comedy,the house of tomorrow,Asa Butterfield Nick Offerman Ellen Burstyn Peter Livolsi Drama Comedy
Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,unknown,Animation Drama Music,liz and the blue bird,Atsumi Tanezaki Nao Tōyama unknown Naoko Yamada Animation Drama Music
Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Anthony Russo and Joe Russo Adventure Action Science Fiction
Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience,Rachel Weisz Rachel McAdams Alessandro Nivola Sebastián Lelio Drama Romance
Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Thriller Drama History,backstabbing for beginners,Ben Kingsley Theo James Jacqueline Bisset Per Fly Thriller Drama History
Deniz Gamze Ergüven,Halle Berry,Daniel Craig,unknown,Romance Drama Crime,kings,Halle Berry Daniel Craig unknown Deniz Gamze Ergüven Romance Drama Crime
"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Anna Faris,Eugenio Derbez,Eva Longoria,Romance Comedy,overboard,"Anna Faris Eugenio Derbez Eva Longoria Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez Romance Comedy"
Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Comedy Drama,tully,Charlize Theron Mackenzie Davis Mark Duplass Jason Reitman Comedy Drama
Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror,bad samaritan,David Tennant Robert Sheehan Carlito Olivero Dean Devlin Thriller Crime Horror
Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy Horror,the cleanse,Johnny Galecki Anna Friel Oliver Platt Bobby Miller Drama Comedy Fantasy Horror
Xavier Beauvois,Nathalie Baye,unknown,unknown,Comedy Science Fiction Adventure,the guardians,Nathalie Baye unknown unknown Xavier Beauvois Comedy Science Fiction Adventure
Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Comedy,life of the party,Melissa McCarthy Maya Rudolph Molly Gordon Ben Falcone Comedy
James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Thriller Crime Action,breaking in,Gabrielle Union Billy Burke Richard Cabral James McTeigue Thriller Crime Action
Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Drama Romance Comedy,the seagull,Saoirse Ronan Annette Bening Corey Stoll Michael Mayer Drama Romance Comedy
Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Crime Drama Thriller,terminal,Margot Robbie Simon Pegg Dexter Fletcher Vaughn Stein Crime Drama Thriller
Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Action Thriller Horror,revenge,Matilda Lutz Kevin Janssens Vincent Colombe Coralie Fargeat Action Thriller Horror
David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Action Comedy Adventure,deadpool 2,Ryan Reynolds Josh Brolin Zazie Beetz David Leitch Action Comedy Adventure
Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Romance Comedy Drama,book club,Jane Fonda Candice Bergen Mary Steenburgen Bill Holderman Romance Comedy Drama
Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Drama,first reformed,Ethan Hawke Amanda Seyfried Cedric Kyles Paul Schrader Drama
Wim Wenders,Wim Wenders (director); Pope Francis,unknown,unknown,Documentary,pope francis: a man of his word,Wim Wenders (director); Pope Francis unknown unknown Wim Wenders Documentary
Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Adventure Crime Family Comedy,show dogs,Will Arnett Natasha Lyonne Ludacris Raja Gosnell Adventure Crime Family Comedy
Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Science Fiction Adventure Action,solo: a star wars story,Alden Ehrenreich Woody Harrelson Emilia Clarke Ron Howard Science Fiction Adventure Action
John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties,Elle Fanning Alex Sharp Nicole Kidman John Cameron Mitchell Comedy Music Romance Science Fiction
Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Thriller Mystery,in darkness,Natalie Dormer Emily Ratajkowski Ed Skrein Anthony Byrne Thriller Mystery
Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Drama,the misandrists,Susanne Sachße Viva Ruiz Kembra Pfahler Bruce LaBruce Drama
"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world,"James Franco Suki Waterhouse Jeffrey Wahlberg James Franco, Bruce Thierry Cheung Science Fiction"
Tim Kirkby,Johnny Knoxville,Chris Pontius,unknown,Comedy,action point,Johnny Knoxville Chris Pontius unknown Tim Kirkby Comedy
Baltasar Kormákur,Shailene Woodley,Sam Claflin,unknown,Thriller Romance Adventure,adrift,Shailene Woodley Sam Claflin unknown Baltasar Kormákur Thriller Romance Adventure
Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade,Logan Marshall-Green Betty Gabriel Harrison Gilbertson Leigh Whannell Action Thriller Science Fiction
Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals,Evan Peters Barry Keoghan Blake Jenner Bart Layton Drama Crime Documentary
Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals,Noël Wells Josh Radnor Aya Cash Theresa Bennett Comedy Romance
Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy,ocean's 8,Sandra Bullock Cate Blanchett Anne Hathaway Gary Ross Crime Comedy
Morgan Neville,Morgan Neville (director); Fred Rogers,unknown,unknown,Documentary,won't you be my neighbor?,Morgan Neville (director); Fred Rogers unknown unknown Morgan Neville Documentary
Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary,Toni Collette Alex Wolff Milly Shapiro Ari Aster Horror Mystery Thriller
Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Thriller Science Fiction Action,hotel artemis,Jodie Foster Sterling K. Brown Sofia Boutella Drew Pearce Thriller Science Fiction Action
Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly,Trevor Jackson Jason Mitchell Michael K. Williams Director X Action Crime
Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2,Craig T. Nelson Holly Hunter Sarah Vowell Brad Bird Action Adventure Animation Family
Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Comedy Action,tag,Ed Helms Jeremy Renner Jon Hamm Jeff Tomsic Comedy Action
Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Drama Romance,on chesil beach,Saoirse Ronan Billy Howle Emily Watson Dominic Cooke Drama Romance
Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,Crime Drama History Thriller,gotti,John Travolta Kelly Preston Stacy Keach Kevin Connolly Crime Drama History Thriller
J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction Thriller,jurassic world: fallen kingdom,Chris Pratt Bryce Dallas Howard Rafe Spall J.A. Bayona Action Adventure Science Fiction Thriller
Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries,Vera Farmiga Christopher Plummer Lewis MacDougall Shana Feste Comedy Drama
"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Mia Wasikowska,unknown,Comedy Western,damsel,"Robert Pattinson Mia Wasikowska unknown David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska Comedy Western"
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Thriller Horror,the domestics,Tyler Hoechlin Kate Bosworth Lance Reddick Mike P. Nelson Thriller Horror
Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Action Crime Drama Thriller,sicario: day of the soldado,Benicio del Toro Josh Brolin Isabela Moner Stefano Sollima Action Crime Drama Thriller
Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace,Ben Foster Thomasin McKenzie Jeff Kober Debra Granik Drama
Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew,Kyrie Irving Lil Rel Howery Shaquille O'Neal Charles Stone III Comedy
Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White Drama History Western
Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Horror Action Thriller,the first purge,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray Horror Action Thriller
Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Science Fiction Adventure Action,ant-man and the wasp,Paul Rudd Evangeline Lilly Michael Peña Peyton Reed Science Fiction Adventure Action
Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you,Lakeith Stanfield Tessa Thompson Armie Hammer Boots Riley Fantasy Science Fiction Comedy
Kevin MacDonald,Whitney Houston,unknown,unknown,Music Documentary,whitney,Whitney Houston unknown unknown Kevin MacDonald Music Documentary
